 x, y, yFit
   4.1190387169449933E-006 ,   5.9617018019905199      ,   5.9710257374871993     
   5.0975117111990582E-005 ,   5.7768549173873600      ,   5.9710245461175173     
   6.1208308116861588E-005 ,   5.4665570331837001      ,   5.9710240163140398     
   2.7664501423706542E-004 ,   5.8109226319994303      ,   5.9709904253840147     
   2.9221631841658892E-004 ,   5.8722147632633703      ,   5.9709863374436711     
   4.5522642544202708E-004 ,   5.8139145759952902      ,   5.9709301079686199     
   4.8870597456582157E-004 ,   5.6286352280926701      ,   5.9709155235136109     
   5.3917053082468581E-004 ,   5.7392864609741503      ,   5.9708915850595830     
   6.5156834946167969E-004 ,   5.7495137906716698      ,   5.9708298202831909     
   8.1121050106030374E-004 ,   5.6810107072402598      ,   5.9707220526712526     
   1.0117156353200900E-003 ,   5.3681483897945999      ,   5.9705533782064020     
   1.2214003306715850E-003 ,   5.5247792713769304      ,   5.9703372941620803     
   1.4005191470329280E-003 ,   5.4574430448261699      ,   5.9701205766978376     
   1.5735951253564931E-003 ,   5.0760538105563500      ,   5.9698830481061318     
   1.6350685893375540E-003 ,   5.4555077258381797      ,   5.9697920306427434     
   1.6912672811642811E-003 ,   5.6000883449276602      ,   5.9697057724213316     
   1.8888062749656499E-003 ,   5.5329281631850797      ,   5.9693794535655407     
   1.8940850646222121E-003 ,   5.5287284274829398      ,   5.9693702395951131     
   1.9504486062974309E-003 ,   5.5175197755482603      ,   5.9692702562477855     
   2.0134297464795038E-003 ,   5.8312372308251001      ,   5.9691550672693126     
   2.0393526631151170E-003 ,   6.1184726930420501      ,   5.9691065928123983     
   2.2397038477262560E-003 ,   6.0986850004568200      ,   5.9687110403411339     
   2.3592018731646929E-003 ,   6.2130150957793298      ,   5.9684574910556911     
   2.5669444515324510E-003 ,   5.9138733996233999      ,   5.9679853617452441     
   2.6044267899711922E-003 ,   5.8219576222132101      ,   5.9678959394497006     
   2.7061003643174281E-003 ,   5.2455155830499702      ,   5.9676468529014741     
   2.8618164763014710E-003 ,   4.3732006344903196      ,   5.9672468954153892     
   3.0757388357900962E-003 ,   5.1957297862309204      ,   5.9666609926506222     
   3.2426840359476060E-003 ,   5.6981936480337501      ,   5.9661744552677387     
   3.3248359152074150E-003 ,   5.5529276438523496      ,   5.9659256078053744     
   3.4940041931953011E-003 ,   5.6635453610775004      ,   5.9653935935376659     
   3.6887556823735198E-003 ,   5.7294098564551001      ,   5.9647484815365530     
   3.7250496356418372E-003 ,   5.8351019363790098      ,   5.9646243968253092     
   3.9256638144149480E-003 ,   5.5891494871085099      ,   5.9639166391737426     
   4.0104512843435374E-003 ,   5.8091825530708601      ,   5.9636063733384024     
   4.2184361549965372E-003 ,   5.4585812678906498      ,   5.9628172618550632     
   4.3748098945798463E-003 ,   4.7561707191068701      ,   5.9621977499862560     
   4.3757977235516481E-003 ,   3.1899368891982101      ,   5.9621937649508716     
   4.4131460346083133E-003 ,   4.7020299707942099      ,   5.9620424381703927     
   4.4534782914564183E-003 ,   5.2021925284314801      ,   5.9618775799221400     
   4.5054482543389696E-003 ,   5.5264809524712097      ,   5.9616629460407093     
   4.6639962144753239E-003 ,   5.8569773797742997      ,   5.9609927985781574     
   4.7499845007195427E-003 ,   5.9680944746708899      ,   5.9606196756545717     
   4.7737093358138924E-003 ,   6.3257614753261002      ,   5.9605155313690776     
   4.9635559438458796E-003 ,   7.1744152696272900      ,   5.9596635274679919     
   5.0671419159448901E-003 ,   6.5247078781749002      ,   5.9591846780898816     
   5.2780954745682389E-003 ,   6.2252267301257698      ,   5.9581790087514541     
   5.4408994055429594E-003 ,   6.1887538217422398      ,   5.9573749285509017     
   5.5263022010753216E-003 ,   6.2192532210488496      ,   5.9569433936594258     
   5.5296264587893270E-003 ,   6.3635043577139498      ,   5.9569264609619470     
   5.5505637614977994E-003 ,   6.5856973992565599      ,   5.9568195798566830     
   5.5678152163346623E-003 ,   6.5422949739270404      ,   5.9567312118489184     
   5.6455490459555967E-003 ,   6.4907625329157401      ,   5.9563296420850627     
   5.8539120157540293E-003 ,   6.5094485779399403      ,   5.9552258849112309     
   5.8696818860261403E-003 ,   7.0978995466951504      ,   5.9551407253913684     
   5.9892154981583791E-003 ,   8.1403697909512296      ,   5.9544878063962727     
   6.1822115249037532E-003 ,   7.0328346852926096      ,   5.9534059508115504     
   6.3262410118013904E-003 ,   6.4146443062733196      ,   5.9525763211792668     
   6.3521111130758279E-003 ,   6.1215021761124202      ,   5.9524252907500390     
   6.5674154581922524E-003 ,   6.4147291178485899      ,   5.9511445379042360     
   6.6379958763577154E-003 ,   6.7499705167578004      ,   5.9507154391904820     
   6.6471837455735509E-003 ,   6.2234780469718602      ,   5.9506592451127780     
   6.7037962161575690E-003 ,   5.6559519911587799      ,   5.9503112902145006     
   6.7841432337705744E-003 ,   5.5169590533207602      ,   5.9498124162503121     
   7.0031094389428738E-003 ,   5.4697548097492801      ,   5.9484228453349033     
   7.0569510926589444E-003 ,   5.0822286317116596      ,   5.9480744391657883     
   7.1816272339589367E-003 ,   5.5829514148834400      ,   5.9472574813445398     
   7.3550523643286072E-003 ,   5.7684213807570401      ,   5.9460974359527565     
   7.5365090956088362E-003 ,   5.6403236920543796      ,   5.9448542160969886     
   7.6888465296066954E-003 ,   5.1251483574365899      ,   5.9437872563957104     
   7.6976769763522383E-003 ,   5.6129156718757196      ,   5.9437247582048034     
   7.7321149789214803E-003 ,   6.2898728884735400      ,   5.9434803396186204     
   7.9253357899158779E-003 ,   6.3998981082557700      ,   5.9420888877723446     
   8.0622715339125368E-003 ,   6.3449579872158504      ,   5.9410821171958812     
   8.0854980541799695E-003 ,   6.1025623895608900      ,   5.9409096542006417     
   8.1014324701399205E-003 ,   6.0748385499760102      ,   5.9407910521399039     
   8.1157261175367462E-003 ,   5.9428168887912101      ,   5.9406844653228816     
   8.2102013512174981E-003 ,   5.7839904818913404      ,   5.9399752794670544     
   8.2950212450403592E-003 ,   5.4315776301328800      ,   5.9393316324121557     
   8.4830732677323717E-003 ,   5.5379191738858697      ,   5.9378812107234662     
   8.6037735874674847E-003 ,   5.8642083484909397      ,   5.9369332705083995     
   8.7644757613727850E-003 ,   6.1762921433632503      ,   5.9356505567323179     
